date,sentiment_ng,sentiment_oil,sentiment_power
2019-08-27,,,
2019-08-28,,,
2019-08-29,,,
2019-08-30,,,
2019-09-02,,,
2019-09-03,,,
2019-09-04,,,
2019-09-05,,,
2019-09-06,,,
2019-09-09,,,
2019-09-10,,,
2019-09-11,,,
2019-09-12,,,
2019-09-13,,,
2019-09-16,,,
2019-09-17,,,
2019-09-18,,,
2019-09-19,-0.004329867660999298,,
2019-09-20,-0.004329867660999298,,
2019-09-23,-0.004329867660999298,,
2019-09-24,-0.004329867660999298,,
2019-09-25,,,
2019-09-26,,,
2019-09-27,-0.013529576361179352,,
2019-09-30,-0.013529576361179352,,
2019-10-01,-0.016867615282535553,,
2019-10-02,-0.016867615282535553,,
2019-10-03,-0.016867615282535553,,
2019-10-04,-0.016867615282535553,,
2019-10-07,,,
2019-10-08,,,
2019-10-09,,,
2019-10-10,,,
2019-10-11,,,
2019-10-14,,,
2019-10-15,,,
2019-10-16,,,
2019-10-17,,,
2019-10-18,,,
2019-10-21,,,
2019-10-22,,,
2019-10-23,-0.008253183215856552,,
2019-10-24,-0.008253183215856552,,
2019-10-25,-0.008253183215856552,,
2019-10-28,-0.008253183215856552,,
2019-10-29,,,
2019-10-30,,,
2019-10-31,,,
2019-11-01,-0.014291409403085709,,
2019-11-04,-0.014291409403085709,,
2019-11-05,-0.014291409403085709,,
2019-11-06,-0.014291409403085709,,
2019-11-07,,,
2019-11-08,,,
2019-11-11,,,
2019-11-12,,,
2019-11-13,,,
2019-11-14,,,
2019-11-15,,,
2019-11-18,,,
2019-11-19,,,
2019-11-20,,,
2019-11-21,,,
2019-11-22,,,
2019-11-25,,,
2019-11-26,,,
2019-11-27,,,
2019-11-28,,,
2019-11-29,,,
2019-12-02,-0.011949567124247551,,
2019-12-03,-0.011949567124247551,,
2019-12-04,-0.011949567124247551,,
2019-12-05,-0.0034764762967824936,,
2019-12-06,-0.0034764762967824936,,
2019-12-09,-0.0034764762967824936,,
2019-12-10,-0.01456918939948082,-0.01456918939948082,
2019-12-11,-0.01456918939948082,-0.01456918939948082,
2019-12-12,-0.01456918939948082,-0.01456918939948082,
2019-12-13,-0.01456918939948082,-0.01456918939948082,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,-0.012681601569056511,,
2020-01-06,-0.012681601569056511,,
2020-01-07,-0.012681601569056511,,
2020-01-08,-0.012681601569056511,,
2020-01-09,,,
2020-01-10,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-20,,,
2020-01-21,,,
2020-01-22,,,
2020-01-23,,,
2020-01-24,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,-0.008265407755970955,,
2020-01-30,-0.008265407755970955,,
2020-01-31,-0.013002092018723488,,
2020-02-03,-0.013002092018723488,-0.014261040836572647,
2020-02-04,-0.013002092018723488,-0.014261040836572647,
2020-02-05,-0.013002092018723488,-0.014261040836572647,
2020-02-06,,-0.014261040836572647,
2020-02-07,,,
2020-02-10,,,
2020-02-11,,,
2020-02-12,,,
2020-02-13,,,
2020-02-14,,,
2020-02-17,,,
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,
2020-02-21,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,-0.008573180064558983,,
2020-02-27,-0.008573180064558983,,
2020-02-28,-0.008573180064558983,,
2020-03-02,-0.008573180064558983,,
2020-03-03,-0.012394247576594353,,
2020-03-04,-0.012394247576594353,,
2020-03-05,-0.012394247576594353,,
2020-03-06,-0.012394247576594353,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,-0.003879908472299576,,
2020-03-16,-0.003879908472299576,,
2020-03-17,-0.003879908472299576,,
2020-03-18,-0.003879908472299576,,
2020-03-19,-0.010234374552965164,,
2020-03-20,-0.010234374552965164,,
2020-03-23,-0.010234374552965164,,
2020-03-24,-0.013052642345428467,-0.013052642345428467,
2020-03-25,-0.013052642345428467,-0.013052642345428467,
2020-03-26,-0.013052642345428467,-0.013052642345428467,
2020-03-27,-0.013052642345428467,-0.013052642345428467,
2020-03-30,,,
2020-03-31,-0.0026055388152599335,,
2020-04-01,-0.0026055388152599335,,
2020-04-02,-0.0026055388152599335,,
2020-04-03,-0.0026055388152599335,,
2020-04-06,,,
2020-04-07,-0.011242061853408813,,
2020-04-08,-0.011242061853408813,,
2020-04-09,-0.011242061853408813,,
2020-04-10,-0.011242061853408813,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,-0.012772347778081894,,
2020-04-16,-0.012772347778081894,,
2020-04-17,-0.012772347778081894,,
2020-04-20,-0.012772347778081894,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,-0.002789923921227455,,
2020-04-30,-0.002921462059020996,,
2020-05-01,-0.0117183489104112,,
2020-05-04,-0.0117183489104112,,
2020-05-05,-0.0117183489104112,,
2020-05-06,-0.0117183489104112,,
2020-05-07,,,
2020-05-08,,,
2020-05-11,,,
2020-05-12,-0.014731848612427711,,
2020-05-13,-0.014731848612427711,,
2020-05-14,-0.009836921468377113,,
2020-05-15,-0.009836921468377113,,
2020-05-18,-0.009836921468377113,,
2020-05-19,-0.009836921468377113,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,-0.012249963358044624,,
2020-06-01,-0.004900921136140823,,
2020-06-02,-0.011391595005989075,,
2020-06-03,-0.011391595005989075,,
2020-06-04,-0.011391595005989075,,
2020-06-05,-0.011391595005989075,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,-0.007072371430695057,,
2020-06-29,-0.007072371430695057,,
2020-06-30,-0.007072371430695057,,
2020-07-01,-0.005279727280139923,,
2020-07-02,-0.018457354977726936,,
2020-07-03,-0.018457354977726936,,
2020-07-06,-0.018457354977726936,,
2020-07-07,-0.004861462861299515,,
2020-07-08,-0.004861462861299515,,
2020-07-09,-0.004861462861299515,,
2020-07-10,-0.004861462861299515,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-20,-0.011428486555814743,-0.011428486555814743,
2020-07-21,-0.011428486555814743,-0.011428486555814743,
2020-07-22,-0.002810681238770485,-0.011428486555814743,
2020-07-23,-0.002810681238770485,-0.011428486555814743,
2020-07-24,-0.002810681238770485,,
2020-07-27,-0.002810681238770485,,
2020-07-28,-0.018266573548316956,,
2020-07-29,-0.018266573548316956,,
2020-07-30,-0.018266573548316956,,
2020-07-31,-0.015199281896154085,,
2020-08-03,-0.004795905202627182,,
2020-08-04,-0.004795905202627182,,
2020-08-05,-0.004795905202627182,,
2020-08-06,-0.004795905202627182,,
2020-08-07,,,
2020-08-10,,,
2020-08-11,,,
2020-08-12,,,
2020-08-13,-0.015904461964964867,,
2020-08-14,-0.015904461964964867,,
2020-08-17,-0.015904461964964867,,
2020-08-18,-0.015904461964964867,,
2020-08-19,,,
2020-08-20,,,
2020-08-21,,,
2020-08-24,,,
2020-08-25,,,
2020-08-26,,,
2020-08-27,,,
2020-08-28,,,
2020-08-31,,,
2020-09-01,,,
2020-09-02,,,
2020-09-03,,,
2020-09-04,,,
2020-09-07,,,
2020-09-08,,,
2020-09-09,-0.01375507190823555,,
2020-09-10,-0.01375507190823555,,
2020-09-11,-0.01375507190823555,,
2020-09-14,-0.01375507190823555,,
2020-09-15,,,
2020-09-16,,,
2020-09-17,,,
2020-09-18,,,
2020-09-21,-0.00749259814620018,,
2020-09-22,-0.00749259814620018,,
2020-09-23,-0.00749259814620018,,
2020-09-24,-0.011184487491846085,-0.011184487491846085,
2020-09-25,-0.011184487491846085,-0.011184487491846085,
2020-09-28,-0.011184487491846085,-0.011184487491846085,
2020-09-29,-0.011184487491846085,-0.011184487491846085,
2020-09-30,,,
2020-10-01,-0.018653718754649162,,
2020-10-02,-0.010868329554796219,,
2020-10-05,-0.011650536209344864,,
2020-10-06,-0.011650536209344864,,
2020-10-07,-0.011650536209344864,,
2020-10-08,-0.011650536209344864,,
2020-10-09,,,
2020-10-12,,,
2020-10-13,,,
2020-10-14,,,
2020-10-15,,,
2020-10-16,,,
2020-10-19,,,
2020-10-20,,,
2020-10-21,,,
2020-10-22,,,
2020-10-23,,,
2020-10-26,,,
2020-10-27,-0.0025788098573684692,,
2020-10-28,-0.0025788098573684692,,
2020-10-29,-0.0025788098573684692,,
2020-10-30,-0.015126070007681847,,
2020-11-02,-0.015126070007681847,,
2020-11-03,-0.015126070007681847,,
2020-11-04,-0.015126070007681847,,
2020-11-05,,,
2020-11-06,,,
2020-11-09,,,
2020-11-10,,,
2020-11-11,,,
2020-11-12,,,
2020-11-13,,,
2020-11-16,,,
2020-11-17,,,
2020-11-18,,,
2020-11-19,,,
2020-11-20,,,
2020-11-23,,,
2020-11-24,,,
2020-11-25,,,
2020-11-26,,,
2020-11-27,,,
2020-11-30,-0.01843416318297386,,
2020-12-01,-0.01843416318297386,,
2020-12-02,-0.01843416318297386,,
2020-12-03,-0.011152798309922218,,
2020-12-04,-0.0035788360983133316,,
2020-12-07,-0.0035788360983133316,,
2020-12-08,-0.0035788360983133316,,
2020-12-09,-0.0035788360983133316,,
2020-12-10,,,
2020-12-11,,,
2020-12-14,,,
2020-12-15,,,
2020-12-16,,,
2020-12-17,,,
2020-12-18,,,
2020-12-21,,,
2020-12-22,,,
2020-12-23,,,
2020-12-24,,,
2020-12-25,,,
2020-12-28,,,
2020-12-29,,,
2020-12-30,-0.018043113872408867,,
2020-12-31,-0.018043113872408867,,
2021-01-01,-0.018043113872408867,,
2021-01-04,-0.018043113872408867,,
2021-01-05,,,
2021-01-06,-0.015827618539333344,,
2021-01-07,-0.015827618539333344,,
2021-01-08,-0.015827618539333344,,
2021-01-11,-0.015827618539333344,,
2021-01-12,,,
2021-01-13,,,
2021-01-14,,,
2021-01-15,,,
2021-01-18,,,
2021-01-19,,,
2021-01-20,,,
2021-01-21,,,
2021-01-22,,,
2021-01-25,,,
2021-01-26,-0.0024536773562431335,,
2021-01-27,-0.0024536773562431335,,
2021-01-28,-0.0024536773562431335,,
2021-01-29,-0.01190275140106678,,
2021-02-01,-0.011965615674853325,,
2021-02-02,-0.017828017473220825,,
2021-02-03,-0.017828017473220825,,
2021-02-04,-0.017828017473220825,,
2021-02-05,-0.017828017473220825,,
2021-02-08,,,
2021-02-09,,,
2021-02-10,,,
2021-02-11,,,
2021-02-12,,,
2021-02-15,,,
2021-02-16,-0.003871249035000801,,
2021-02-17,-0.003871249035000801,,
2021-02-18,-0.003871249035000801,,
2021-02-19,-0.003871249035000801,,
2021-02-22,,,
2021-02-23,,,
2021-02-24,,,
2021-02-25,,,
2021-02-26,,,
2021-03-01,-0.014219429343938828,,
2021-03-02,-0.007126551121473312,,
2021-03-03,-0.007126551121473312,,
2021-03-04,-0.007126551121473312,,
2021-03-05,-0.007126551121473312,,
2021-03-08,,,
2021-03-09,,,
2021-03-10,,,
2021-03-11,,,
2021-03-12,,,
2021-03-15,,,
2021-03-16,,,
2021-03-17,-0.008757628500461578,,
2021-03-18,-0.008757628500461578,,
2021-03-19,-0.008757628500461578,,
2021-03-22,-0.008757628500461578,,
2021-03-23,,,
2021-03-24,,,
2021-03-25,,,
2021-03-26,,,
2021-03-29,,,
2021-03-30,,,
2021-03-31,-0.012892525643110275,,
2021-04-01,-0.012892525643110275,,
2021-04-02,-0.012892525643110275,,
2021-04-05,-0.012892525643110275,,
2021-04-06,,,
2021-04-07,,,
2021-04-08,,,
2021-04-09,,,
2021-04-12,-0.007203210145235062,,
2021-04-13,-0.007203210145235062,,
2021-04-14,-0.007203210145235062,,
2021-04-15,-0.007203210145235062,,
2021-04-16,,,
2021-04-19,,,
2021-04-20,,,
2021-04-21,,,
2021-04-22,,,
2021-04-23,,,
2021-04-26,,,
2021-04-27,-0.0021488964557647705,,
2021-04-28,-0.0021488964557647705,,
2021-04-29,-0.0021488964557647705,,
2021-04-30,-0.012173273600637913,,
2021-05-03,-0.012173273600637913,,
2021-05-04,-0.012173273600637913,,
2021-05-05,-0.012173273600637913,,
2021-05-06,,,
2021-05-07,,,
2021-05-10,,,
2021-05-11,,,
2021-05-12,,,
2021-05-13,,,
2021-05-14,,,
2021-05-17,,,
2021-05-18,,,
2021-05-19,,,
2021-05-20,-0.004426095634698868,,
2021-05-21,-0.004426095634698868,,
2021-05-24,-0.004426095634698868,,
2021-05-25,-0.004426095634698868,,
2021-05-26,,,
2021-05-27,,,
2021-05-28,-0.011238230392336845,,
2021-05-31,-0.011238230392336845,,
2021-06-01,-0.011238230392336845,,
2021-06-02,-0.013318156823515892,,
2021-06-03,-0.013318156823515892,,
2021-06-04,-0.013318156823515892,,
2021-06-07,-0.013318156823515892,,
2021-06-08,,,
2021-06-09,,,
2021-06-10,,,
2021-06-11,,,
2021-06-14,,,
2021-06-15,,,
2021-06-16,,,
2021-06-17,-0.0031937453895807266,,
2021-06-18,-0.0031937453895807266,,
2021-06-21,-0.012774797156453133,,
2021-06-22,-0.012774797156453133,,
2021-06-23,-0.012774797156453133,,
2021-06-24,-0.012774797156453133,,
2021-06-25,,,
2021-06-28,,,
2021-06-29,,,
2021-06-30,-0.013301681727170944,,
2021-07-01,-0.013301681727170944,,
2021-07-02,-0.013301681727170944,,
2021-07-05,-0.013301681727170944,,
2021-07-06,,,
2021-07-07,,,
2021-07-08,-0.0032981187105178833,,
2021-07-09,-0.0032981187105178833,,
2021-07-12,-0.0032981187105178833,,
2021-07-13,-0.0032981187105178833,,
2021-07-14,,,
2021-07-15,,,
2021-07-16,,,
2021-07-19,,,
2021-07-20,,,
2021-07-21,,,
